"Code point","Rank 1","Rank 2","Unicode name","WP43 usage","Glyph","Replacement","Code point"
"U+0074",298,299,"LATIN SMALL LETTER T","t","t","T","U+0054"
"U+0075",309,310,"LATIN SMALL LETTER U","u","u","U","U+0055"
"U+0076",333,334,"LATIN SMALL LETTER V","v","v","V","U+0056"
"U+0077",339,340,"LATIN SMALL LETTER W","w","w","W","U+0057"
"U+0078",347,348,"LATIN SMALL LETTER X","x","x","X","U+0058"
"U+0079",357,358,"LATIN SMALL LETTER Y","y","y","Y","U+0059"
"U+007a",371,372,"LATIN SMALL LETTER Z","z","z","Z","U+005a"
"U+007b",461,461,"LEFT CURLY BRACKET","Left curly bracket","{","{","U+007b"
"U+007c",535,535,"VERTICAL LINE","Pipe","|","|","U+007c"
"U+007d",461,462,"RIGHT CURLY BRACKET","Right curly bracket","}","{","U+007b"
"U+007e",513,513,"TILDE","Tilde","~","~","U+007e"
"U+00a1",490,491,"INVERTED EXCLAMATION MARK","Inverted exclamation mark","¡","!","U+0021"
"U+00a2",554,557,"CENT SIGN","Cent","¢","%","U+0025"
"U+00a3",554,558,"POUND SIGN","Pound","£","%","U+0025"
"U+00a5",554,559,"YEN SIGN","Yen","¥","%","U+0025"
"U+00a7",554,560,"SECTION SIGN","Section","§","%","U+0025"
"U+00a9",236,242,"COPYRIGHT SIGN","Overflow Carry","©","O","U+004f"
"U+00ab",503,508,"LEFT-POINTING DOUBLE ANGLE QUOTATION MARK","Left French quotation mark","«","""","U+0022"
"U+00ac",528,528,"NOT SIGN","Not","¬","¬","U+00ac"
"U+00b0",10,12,"DEGREE SIGN","Degree sign","°","0","U+0030"
"U+00b1",467,470,"PLUS-MINUS SIGN","Plus-minus","±","+","U+002b"
"U+00b5",415,417,"MICRO SIGN","mu","µ","Μ","U+039c"
"U+00b7",476,477,"MIDDLE DOT","Middle dot","·","×","U+00d7"
"U+00bb",503,509,"RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK","Right French quotation mark","»","""","U+0022"
"U+00bc",15,18,"VULGAR FRACTION ONE QUARTER","Fraction 1/4","¼","1","U+0031"
"U+00bd",15,17,"VULGAR FRACTION ONE HALF","Fraction 1/2","½","1","U+0031"
"U+00bf",492,493,"INVERTED QUESTION MARK","Inverted question mark","¿","?","U+003f"
"U+00c0",63,69,"LATIN CAPITAL LETTER A WITH GRAVE","A grave","À","A","U+0041"
"U+00c1",63,71,"LATIN CAPITAL LETTER A WITH ACUTE","A accute","Á","A","U+0041"
"U+00c2",63,73,"LATIN CAPITAL LETTER A WITH CIRCUMFLEX","A circumflex","Â","A","U+0041"
"U+00c3",63,75,"LATIN CAPITAL LETTER A WITH TILDE","A tilde","Ã","A","U+0041"
"U+00c4",63,77,"LATIN CAPITAL LETTER A WITH DIAERESIS","A diaresis","Ä","A","U+0041"
"U+00c5",63,79,"LATIN CAPITAL LETTER A WITH RING ABOVE","A ring","Å","A","U+0041"
"U+00c6",63,81,"LATIN CAPITAL LETTER AE","AE","Æ","A","U+0041"
"U+00c7",95,101,"LATIN CAPITAL LETTER C WITH CEDILLA","C cedilla","Ç","C","U+0043"
"U+00c8",121,127,"LATIN CAPITAL LETTER E WITH GRAVE","E grave","È","E","U+0045"
"U+00c9",121,129,"LATIN CAPITAL LETTER E WITH ACUTE","E accute","É","E","U+0045"
"U+00ca",121,131,"LATIN CAPITAL LETTER E WITH CIRCUMFLEX","E circumflex","Ê","E","U+0045"
"U+00cb",121,133,"LATIN CAPITAL LETTER E WITH DIAERESIS","E diaresis","Ë","E","U+0045"
"U+00cc",170,176,"LATIN CAPITAL LETTER I WITH GRAVE","I grave","Ì","I","U+0049"
"U+00cd",170,178,"LATIN CAPITAL LETTER I WITH ACUTE","I accute","Í","I","U+0049"
"U+00ce",170,180,"LATIN CAPITAL LETTER I WITH CIRCUMFLEX","I circumflex","Î","I","U+0049"
"U+00cf",170,182,"LATIN CAPITAL LETTER I WITH DIAERESIS","I diaresis","Ï","I","U+0049"
"U+00d0",109,115,"LATIN CAPITAL LETTER ETH","ETH","Ð","D","U+0044"
"U+00d1",223,229,"LATIN CAPITAL LETTER N WITH TILDE","N tilde","Ñ","N","U+004E"
