"Code point","Rank 1","Rank 2","Unicode name","WP43 usage","Glyph","Replacement","Code point"
"U+03b3",390,391,"GREEK SMALL LETTER GAMMA","gamma","γ","Γ","U+0393"
"U+03b4",392,393,"GREEK SMALL LETTER DELTA","delta","δ","Δ","U+0394"
"U+03b5",395,396,"GREEK SMALL LETTER EPSILON","epsilon","ε","Ε","U+0395"
"U+03b6",398,399,"GREEK SMALL LETTER ZETA","zeta","ζ","Ζ","U+0396"
"U+03b7",400,401,"GREEK SMALL LETTER ETA","eta","η","Η","U+0397"
"U+03b8",403,404,"GREEK SMALL LETTER THETA","theta","θ","Θ","U+0398"
"U+03b9",405,406,"GREEK SMALL LETTER IOTA","iota","ι","Ι","U+0399"
"U+03ba",411,412,"GREEK SMALL LETTER KAPPA","kappa","κ","Κ","U+039a"
"U+03bb",413,414,"GREEK SMALL LETTER LAMDA","lamda","λ","Λ","U+039b"
"U+03bc",415,416,"GREEK SMALL LETTER MU","mu","μ","Μ","U+039c"
"U+03bd",419,420,"GREEK SMALL LETTER NU","nu","ν","Ν","U+039d"
"U+03be",421,422,"GREEK SMALL LETTER XI","xi","ξ","Ξ","U+039e"
"U+03bf",423,424,"GREEK SMALL LETTER OMICRON","omicron","ο","Ο","U+039f"
"U+03c0",426,428,"GREEK SMALL LETTER PI","pi","π","Π","U+03a0"
"U+03c1",429,430,"GREEK SMALL LETTER RHO","rho","ρ","Ρ","U+03a1"
"U+03c2",431,433,"GREEK SMALL LETTER FINAL SIGMA","Final sigma","ς","Σ","U+03a3"
"U+03c3",431,432,"GREEK SMALL LETTER SIGMA","sigma","σ","Σ","U+03a3"
"U+03c4",434,435,"GREEK SMALL LETTER TAU","tau","τ","Τ","U+03a4"
"U+03c5",436,437,"GREEK SMALL LETTER UPSILON","upsilon","υ","Υ","U+03a5"
"U+03c6",442,443,"GREEK SMALL LETTER PHI","phi","φ","Φ","U+03a6"
"U+03c7",444,445,"GREEK SMALL LETTER CHI","chi","χ","Χ","U+03a7"
"U+03c8",446,447,"GREEK SMALL LETTER PSI","psi","ψ","Ψ","U+03a8"
"U+03c9",448,449,"GREEK SMALL LETTER OMEGA","omega","ω","Ω","U+03a9"
"U+03ca",405,409,"GREEK SMALL LETTER IOTA WITH DIALYTIKA","iota dialytika","ϊ","Ι","U+0399"
"U+03cb",436,440,"GREEK SMALL LETTER UPSILON WITH DIALYTIKA","upsilon dialytika","ϋ","Υ","U+03a5"
"U+03cc",423,425,"GREEK SMALL LETTER OMICRON WITH TONOS","omicron tonos","ό","Ο","U+039f"
"U+03cd",436,438,"GREEK SMALL LETTER UPSILON WITH TONOS","upsilon tonos","ύ","Υ","U+03a5"
"U+03ce",448,450,"GREEK SMALL LETTER OMEGA WITH TONOS","omega tonos","ώ","Ω","U+03a9"
"U+2003",1,2,"EM SPACE","EM space"," "," ","U+0020"
"U+2004",1,3,"THREE-PER-EM SPACE","3 per EM space"," "," ","U+0020"
"U+2005",1,4,"FOUR-PER-EM SPACE","4 per EM space"," "," ","U+0020"
"U+2006",1,5,"SIX-PER-EM SPACE","6 per EM space"," "," ","U+0020"
"U+2007",1,6,"FIGURE SPACE","Figure space"," "," ","U+0020"
"U+2008",1,7,"PUNCTUATION SPACE","Punctuation space"," "," ","U+0020"
"U+200a",1,8,"HAIR SPACE","Hair space"," "," ","U+0020"
"U+2018",498,499,"LEFT SINGLE QUOTATION MARK","Left single quatation mark","‘","'","U+0027"
"U+2019",498,500,"RIGHT SINGLE QUOTATION MARK","Right single quatation mark","’","'","U+0027"
"U+201a",498,501,"SINGLE LOW-9 QUOTATION MARK","Single low-9 quotation mark","‚","'","U+0027"
"U+201b",498,502,"SINGLE HIGH-REVERSED-9 QUOTATION MARK","Single high-reversed-9 quotation mark","‛","'","U+0027"
"U+201c",503,504,"LEFT DOUBLE QUOTATION MARK","Left double quatation mark","“","""","U+0022"
"U+201d",503,505,"RIGHT DOUBLE QUOTATION MARK","Right double quatation mark","”","""","U+0022"
"U+201e",503,506,"DOUBLE LOW-9 QUOTATION MARK","Double low-9 quotation mark","„","""","U+0022"
"U+201f",503,507,"DOUBLE HIGH-REVERSED-9 QUOTATION MARK","Double high-reversed-9 quotation mark","‟","""","U+0022"
"U+2026",487,489,"HORIZONTAL ELLIPSIS","Ellipsis","…",".","U+002e"
"U+2027",15,16,"HYPHENATION POINT ","Binary 1","‧","1","U+0031"
"U+2072",471,473,"<reserved> (superscript 2 - 00B2)","Superscript -1","⁲","-","U+002d"
"U+2073",121,145,"<reserved> (superscript 3 - 00B3)","Subscript E","⁳","E","U+0045"
"U+2080",10,14,"SUBSCRIPT ZERO","Subscript 0","₀","0","U+0030"
"U+2081",15,20,"SUBSCRIPT ONE","Subscript 1","₁","1","U+0031"
"U+2082",22,24,"SUBSCRIPT TWO","Subscript 2","₂","2","U+0032"
"U+2083",26,28,"SUBSCRIPT THREE","Subscript 3","₃","3","U+0033"
"U+2084",31,33,"SUBSCRIPT FOUR","Subscript 4","₄","4","U+0034"
"U+2085",35,37,"SUBSCRIPT FIVE","Subscript 5","₅","5","U+0035"
"U+2086",39,41,"SUBSCRIPT SIX","Subscript 6","₆","6","U+0036"
"U+2087",43,45,"SUBSCRIPT SEVEN","Subscript 7","₇","7","U+0037"
"U+2088",47,49,"SUBSCRIPT EIGHT","Subscript 8","₈","8","U+0038"
"U+2089",51,53,"SUBSCRIPT NINE","Subscript 9","₉","9","U+0039"
"U+208a",467,469,"SUBSCRIPT PLUS SIGN","Subscript +","₊","+","U+002b"
"U+208b",471,474,"SUBSCRIPT MINUS","Subscript -","₋","-","U+002d"
"U+208f",476,481,"not defined by unicode","Superscript *","₏","×","U+00d7"
"U+209e",563,564,"not defined by unicode","Superscript infinity","₞","∞","U+221e"
"U+209f",563,565,"not defined by unicode","Subscript infinity","₟","∞","U+221e"
"U+20ac",554,556,"EURO SIGN","Euro","€","%","U+0025"
"U+2102",95,107,"DOUBLE-STRUCK CAPITAL C","Complec C","ℂ","C","U+0043"
"U+210e",161,163,"PLANCK CONSTANT","Planck","ℎ","H","U+0048"
"U+210f",161,169,"PLANCK CONSTANT OVER TWO PI","Planck / 2pi","ℏ","H","U+0048"
"U+2115",223,235,"DOUBLE-STRUCK CAPITAL N","Natural N","ℕ","N","U+004e"
"U+211a",267,273,"DOUBLE-STRUCK CAPITAL Q","Rational Q","ℚ","Q","U+0051"
"U+211d",274,284,"DOUBLE-STRUCK CAPITAL R","Real R","ℝ","R","U+0052"
"U+2124",371,383,"DOUBLE-STRUCK CAPITAL Z","Integer Z","ℤ","Z","U+005a"
"U+2147",121,146,"DOUBLE-STRUCK ITALIC SMALL E","Euler's e","ⅇ","E","U+0045"
"U+2148",170,192,"DOUBLE-STRUCK ITALIC SMALL I","Imaginary unit","ⅈ","I","U+0049"
"U+2160",10,13,"ROMAN NUMERAL ONE","Superscript 0","Ⅰ","0","U+0030"
"U+2161",15,19,"ROMAN NUMERAL TWO","Superscript 1","Ⅱ","1","U+0031"
"U+2162",22,23,"ROMAN NUMERAL THREE","Superscript 2","Ⅲ","2","U+0032"
"U+2163",26,27,"ROMAN NUMERAL FOUR","Superscript 3","Ⅳ","3","U+0033"
"U+2164",31,32,"ROMAN NUMERAL FIVE","Superscript 4","Ⅴ","4","U+0034"
"U+2165",35,36,"ROMAN NUMERAL SIX","Superscript 5","Ⅵ","5","U+0035"
"U+2166",39,40,"ROMAN NUMERAL SEVEN","Superscript 6","Ⅶ","6","U+0036"
"U+2167",43,44,"ROMAN NUMERAL EIGHT","Superscript 7","Ⅷ","7","U+0037"
"U+2168",47,48,"ROMAN NUMERAL NINE","Superscript 8","Ⅸ","8","U+0038"
"U+2169",51,52,"ROMAN NUMERAL TEN","Superscript 9","Ⅹ","9","U+0039"
"U+216a",467,468,"SUPERSCRIPT PLUS SIGN","Superscript +","Ⅺ","+","U+002b"
"U+216b",471,472,"SUPERSCRIPT MINUS","Superscript -","Ⅻ","-","U+002d"
"U+2190",516,516,"LEFTWARDS ARROW","Left arrow","←","←","U+2190"
"U+2191",518,518,"UPWARDS ARROW","Up arrow","↑","↑","U+2191"
"U+2192",514,514,"RIGHTWARDS ARROW","Right arrow","→","→","U+2192"
"U+2193",522,522,"DOWNWARDS ARROW","Down arrow","↓","↓","U+2193"
"U+2195",526,526,"UP DOWN ARROW","Up-down arrof","↕","↕","U+2195"
"U+21c0",514,515,"RIGHTWARDS HARPOON WITH BARB UPWARDS","Short right arrow","⇀","→","U+2192"
"U+21c4",525,525,"RIGHTWARDS ARROW OVER LEFTWARDS ARROW","Left-right arrow","⇄","⇄","U+21c4"
"U+21c9",518,520,"RIGHTWARDS PAIRED ARROWS ","BST","⇉","↑","U+2191"
"U+21cb",522,524,"LEFTWARDS HARPOON OVER RIGHTWARDS HARPOON ","SST","⇋","↓","U+2193"
"U+21cc",527,527,"RIGHTWARDS HARPOON OVER LEFTWARDS HARPOON ","List","⇌","⇌","U+21cc"
"U+21cd",516,517,"LEFTWARDS DOUBLE ARROW WITH STROKE ","Undo","⇍","←","U+2190"
"U+21e7",518,519,"UP_HOLLOW_ARROW","Up hollow arrow","⇧","↑","U+2191"
"U+21e9",522,523,"DOWN_HOLLOW_ARROW","Down hollow arrow","⇩","↓","U+2193"
"U+2200",596,596,"FOR ALL","For all","∀","∀","U+2200"
"U+2201",95,108,"COMPLEMENT","Complement","∁","C","U+0043"
"U+2202",596,597,"PARTIAL DIFFERENTIAL","Partial differential","∂","∀","U+2200"
"U+2203",596,598,"THERE EXISTS","There exists","∃","∀","U+2200"
"U+2204",596,599,"THERE DOES NOT EXIST","There does not exists","∄","∀","U+2200"
"U+2205",596,600,"EMPTY SET","Empty set","∅","∀","U+2200"
"U+2206",596,601,"INCREMENT","Increment","∆","∀","U+2200"
"U+2207",596,602,"NABLA","Nabla","∇","∀","U+2200"
"U+2208",596,603,"ELEMENT OF","Element of","∈","∀","U+2200"
"U+2209",596,604,"NOT AN ELEMENT OF","Not an element of","∉","∀","U+2200"
"U+220b",596,605,"CONTAINS AS MEMBER","Contains as member","∋","∀","U+2200"
"U+220c",596,606,"DOES NOT CONTAIN AS MEMBER","Does not contain as member","∌","∀","U+2200"
"U+220e",10,11,"END OF PROOF","Binary 0","∎","0","U+0030"
"U+220f",426,427,"N-ARY PRODUCT","N-ary product","∏","Π","U+03a0"
"U+2213",471,475,"MINUS-OR-PLUS SIGN","Minus-plus","∓","-","U+002d"
"U+2218",476,479,"RING OPERATOR","Ring","∘","×","U+00d7"
"U+2219",476,478,"BULLET OPERATOR","Bullet","∙","×","U+00d7"
"U+221a",561,561,"SQUARE ROOT","Square root","√","√","U+221a"
"U+221b",26,30,"CUBE ROOT","Cube root","∛","3","U+0033"
"U+221c",347,356,"FOURTH ROOT","xth root","∜","X","U+0058"
"U+221d",561,562,"PROPORTIONAL TO","Proportional to","∝","√","U+221a"
"U+221e",563,563,"INFINITY","Infinity","∞","∞","U+221e"
"U+221f",575,575,"RIGHT ANGLE","Right angle","∟","∟","U+221f"
"U+2220",577,577,"ANGLE","Angle","∠","∠","U+2220"
"U+2221",577,578,"MEASURED ANGLE","Measured angle","∡","∠","U+2220"
"U+2222",577,579,"SPHERICAL ANGLE","Spherical angle","∢","∠","U+2220"
"U+2223",535,536,"DIVIDES","Divides","∣","|","U+007c"
"U+2224",535,537,"DOES NOT DIVIDE","Does not divide","∤","|","U+007c"
"U+2225",535,538,"PARALLEL TO","Parallel to","∥","|","U+007c"
"U+2226",535,539,"NOT PARALLEL TO","Not parallel to","∦","|","U+007c"
"U+2227",529,529,"LOGICAL AND","And","∧","∧","U+2227"
"U+2228",529,530,"LOGICAL OR","Or","∨","∧","U+2227"
"U+2229",596,607,"INTERSECTION","Intersection","∩","∀","U+2200"
"U+222a",596,608,"UNION","Union","∪","∀","U+2200"
"U+222b",566,566,"INTEGRAL","Integral","∫","∫","U+222b"
"U+222c",566,567,"DOUBLE INTEGRAL","Doublr integral","∬","∫","U+222b"
"U+222d",566,568,"TRIPLE INTEGRAL","Triple integral","∭","∫","U+222b"
"U+222e",566,569,"CONTOUR INTEGRAL","Contour integral","∮","∫","U+222b"
"U+222f",566,570,"SURFACE INTEGRAL","Surface integral","∯","∫","U+222b"
"U+2230",566,571,"VOLUME INTEGRAL","Volume integral","∰","∫","U+222b"
"U+2236",494,495,"RATIO","Ratio","∶",":","U+003a"
"U+2243",540,546,"ASYMPTOTICALLY EQUAL TO","Asymptotically equal to","≃","≪","U+226a"
"U+2248",540,547,"ALMOST EQUAL TO","Almost equal","≈","≪","U+226a"
"U+2254",540,544,"COLON EQUALS","Colon equals","≔","≪","U+226a"
"U+2258",540,548,"CORRESPONDS TO","Corresponds to","≘","≪","U+226a"
"U+2259",540,549,"ESTIMATES","Estimates","≙","≪","U+226a"
"U+2260",540,550,"NOT EQUAL TO","Not equel to","≠","≪","U+226a"
"U+2261",540,543,"IDENTICAL TO","Identical to","≡","≪","U+226a"
"U+2264",540,542,"LESS-THAN OR EQUAL TO","Less or equal than","≤","≪","U+226a"
"U+2265",540,551,"GREATER-THAN OR EQUAL TO","Greater or equal than","≥","≪","U+226a"
"U+226a",540,540,"MUCH LESS-THAN","Much less than","≪","≪","U+226a"
"U+226b",540,553,"MUCH GREATER-THAN","Much greater than","≫","≪","U+226a"
"U+2295",574,574,"CIRCLED PLUS","Subscript earth","⊕","⊕","U+2295"
"U+2296",384,386,"CIRCLED MINUS","Subscript alpha","⊖","Α","U+0391"
"U+2297",392,394,"CIRCLED TIMES","Subscript delta","⊗","Δ","U+0394"
"U+2298",415,418,"CIRCLED SLASH","Subscript mu","⊘","Μ","U+039c"
"U+2299",572,572,"CIRCLED DOT OPERATOR","Sun","⊙","⊙","U+2299"
"U+229a",572,573,"CIRCLED RING OPERATOR","Subscript sun","⊚","⊙","U+2299"
"U+229b",584,592,"CIRCLED ASTERISK OPERATOR","Program running","⊛","⎙","U+2399"
"U+22a4",298,301,"DOWN TACK","Transposed","⊤","T","U+0054"
"U+22a5",575,576,"UP TACK","Perpendicular","⊥","∟","U+221f"
"U+22bb",529,531,"XOR","Xor","⊻","∧","U+2227"
"U+22bc",529,532,"NAND","Nand","⊼","∧","U+2227"
"U+22bd",529,533,"NOR","Nor","⊽","∧","U+2227"
"U+2308",580,580,"LEFT CEILING","Left ceiling","⌈","⌈","U+2308"
"U+2309",580,581,"RIGHT CEILING","Right ceiling","⌉","⌈","U+2308"
"U+230a",582,582,"LEFT FLOOR","Left floor","⌊","⌊","U+230a"
"U+230b",582,583,"RIGHT FLOOR","Right floor","⌋","⌊","U+230a"
"U+231a",584,586,"WATCH","Watch","⌚","⎙","U+2399"
"U+231b",584,585,"HOURGLASS","Hourglass","⌛","⎙","U+2399"
"U+2399",584,584,"PRINT SCREEN SYMBOL","Printer","⎙","⎙","U+2399"
"U+23a1",453,454,"LEFT SQUARE BRACKET UPPER CORNER","Matrix upper left","⎡","[","U+005b"
"U+23a2",453,455,"LEFT SQUARE BRACKET EXTENSION","Matrix middle left","⎢","[","U+005b"
"U+23a3",453,456,"LEFT SQUARE BRACKET LOWER CORNER","Matrix lower left","⎣","[","U+005b"
"U+23a4",453,458,"RIGHT SQUARE BRACKET UPPER CORNER","Matrix upper right","⎤","[","U+005b"
"U+23a5",453,459,"RIGHT SQUARE BRACKET EXTENSION","Matrix middle right","⎥","[","U+005b"
"U+23a6",453,460,"RIGHT SQUARE BRACKET LOWER CORNER","Matrix lower right","⎦","[","U+005b"
"U+23F1",584,587,"STOPWATCH","Stopwatch","⏱","⎙","U+2399"
"U+2421",609,609,"SYMBOL FOR DELETE","Oblique 1","␡","␡","U+2421"
"U+2422",609,610,"BLANK SYMBOL","Oblique 2","␢","␡","U+2421"
"U+2423",1,9,"OPEN BOX","Space symbol","␣"," ","U+0020"
"U+2425",609,611,"SYMBOL FOR DELETE FORM TWO","Oblique 3","␥","␡","U+2421"
"U+2426",609,612,"SYMBOL FOR SUBSTITUTE FORM TWO","Oblique 4","␦","␡","U+2421"
"U+2427",511,512,"not defined by unicode","Cursor","␧","_","U+005f"
"U+2428",487,488,"not defined by unicode","DP decimal separator","␨",".","U+002e"
"U+2429",485,486,"not defined by unicode","DP decimal separator","␩",",","U+002c"
"U+242a",584,588,"not defined by unicode","Battery","␪","⎙","U+2399"
"U+242b",518,521,"not defined by unicode","Pgm begin","␫","↑","U+2191"
"U+242c",584,589,"not defined by unicode","User mode","␬","⎙","U+2399"
"U+242d",594,594,"not defined by unicode","UK","␭","␭","U+242d"
"U+242e",594,595,"not defined by unicode","US","␮","␭","U+242d"
"U+242f",584,590,"not defined by unicode","Negative exclamation mark","␯","⎙","U+2399"
"U+2430",463,463,,"Gauss left black","␰","␰","U+2430"
"U+2431",463,464,,"Gauss right white","␱","␰","U+2430"
"U+2432",463,465,,"Gauss left white","␲","␰","U+2430"
"U+2433",463,466,,"Gauss right black","␳","␰","U+2430"
"U+2434",584,591,,"USB symbol","␴","⎙","U+2399"
"U+2460",15,21,"CIRCLED DIGIT ONE ","Base 1","①","1","U+0031"
"U+2461",22,25,"CIRCLED DIGIT TWO","Base 2","②","2","U+0032"
"U+2462",26,29,"CIRCLED DIGIT THREE","Base 3","③","3","U+0033"
"U+2463",31,34,"CIRCLED DIGIT FOUR","Base 4","④","4","U+0034"
"U+2464",35,38,"CIRCLED DIGIT FIVE","Base 5","⑤","5","U+0035"
"U+2465",39,42,"CIRCLED DIGIT SIX","Base 6","⑥","6","U+0036"
"U+2466",43,46,"CIRCLED DIGIT SEVEN","Base 7","⑦","7","U+0037"
"U+2467",47,50,"CIRCLED DIGIT EIGHT","Base 8","⑧","8","U+0038"
"U+2468",51,54,"CIRCLED DIGIT NINE","Base 9","⑨","9","U+0039"
"U+2469",55,56,"CIRCLED DIGIT TEN","Base 10","⑩","⑽","U+247d"
"U+246a",57,57,"CIRCLED DIGIT ELEVEN","Base 11","⑪","⑪","U+246a"
"U+246b",58,58,"CIRCLED DIGIT TWELVE","Base 12","⑫","⑫","U+246b"
"U+246c",59,59,"CIRCLED DIGIT THIRTEEN","Base 13","⑬","⑬","U+246c"
"U+246d",60,60,"CIRCLED DIGIT FOURTEEN","Base 14","⑭","⑭","U+246d"
"U+246e",61,61,"CIRCLED DIGIT FIFTEEN","Base 15","⑮","⑮","U+246e"
"U+246f",62,62,"CIRCLED DIGIT SIXTEEN","Base 16","⑯","⑯","U+246f"
"U+247d",55,55,"NUMBER TEN FULL STOP ","exponent mark","⑽","⑽","U+247d"
"U+2482",63,67,"PARENTHESIZED NUMBER FIFTEEN","Superscript a","⒂","A","U+0041"
"U+2483",89,93,"PARENTHESIZED NUMBER SIXTEEN","Superscript b","⒃","B","U+0042"
"U+2484",95,99,"PARENTHESIZED NUMBER SEVENTEEN","Superscript c","⒄","C","U+0043"
"U+2485",109,113,"PARENTHESIZED NUMBER EIGHTEEN","Superscript d","⒅","D","U+0044"
"U+2486",121,125,"PARENTHESIZED NUMBER NINETEEN","Superscript e","⒆","E","U+0045"
"U+2487",147,151,"PARENTHESIZED NUMBER TWENTY","Superscript f","⒇","F","U+0046"
"U+2488",153,157,"DIGIT ONE FULL STOP","Superscript g","⒈","G","U+0047"
"U+2489",161,166,"DIGIT TWO FULL STOP","Superscript h","⒉","H","U+0048"
"U+248a",170,174,"DIGIT THREE FULL STOP","Superscript i","⒊","I","U+0049"
"U+248b",193,197,"DIGIT FOUR FULL STOP","Superscript j","⒋","J","U+004a"
"U+248c",199,203,"DIGIT FIVE FULL STOP","Superscript k","⒌","K","U+004b"
"U+248d",205,209,"DIGIT SIX FULL STOP","Superscript l","⒍","L","U+004c"
"U+248e",217,221,"DIGIT SEVEN FULL STOP","Superscript m","⒎","M","U+004d"
"U+248f",223,227,"DIGIT EIGHT FULL STOP","Superscript n","⒏","N","U+004e"
"U+2490",236,240,"DIGIT NINE FULL STOP","Superscript o","⒐","O","U+004f"
"U+2491",261,265,"NUMBER TEN FULL STOP","Superscript p","⒑","P","U+0050"
"U+2492",267,271,"NUMBER ELEVEN FULL STOP","Superscript q","⒒","Q","U+0051"
"U+2493",274,278,"NUMBER TWELVE FULL STOP","Superscript r","⒓","R","U+0052"
"U+2494",285,289,"NUMBER THIRTEEN FULL STOP","Superscript s","⒔","S","U+0053"
"U+2495",298,303,"NUMBER FOURTEEN FULL STOP","Superscript t","⒕","T","U+0054"
"U+2496",309,313,"NUMBER FIFTEEN FULL STOP","Superscript u","⒖","U","U+0055"
"U+2497",333,337,"NUMBER SIXTEEN FULL STOP","Superscript v","⒗","V","U+0056"
"U+2498",339,343,"NUMBER SEVENTEEN FULL STOP","Superscript w","⒘","W","U+0057"
"U+2499",347,351,"NUMBER EIGHTEEN FULL STOP","Superscript x","⒙","X","U+0058"
"U+249a",357,361,"NUMBER NINETEEN FULL STOP","Superscript y","⒚","Y","U+0059"
"U+249b",371,375,"NUMBER TWENTY FULL STOP","Superscript z","⒛","Z","U+005a"
"U+249c",63,68,"PARENTHESIZED LATIN SMALL LETTER A","Subscript a","⒜","A","U+0041"
"U+249d",89,94,"PARENTHESIZED LATIN SMALL LETTER B","Subscript b","⒝","B","U+0042"
"U+249e",95,100,"PARENTHESIZED LATIN SMALL LETTER C","Subscript c","⒞","C","U+0043"
"U+249f",109,114,"PARENTHESIZED LATIN SMALL LETTER D","Subscript d","⒟","D","U+0044"
"U+24a0",121,126,"PARENTHESIZED LATIN SMALL LETTER E","Subscript e","⒠","E","U+0045"
"U+24a1",147,152,"PARENTHESIZED LATIN SMALL LETTER F","Subscript f","⒡","F","U+0046"
"U+24a2",153,158,"PARENTHESIZED LATIN SMALL LETTER G","Subscript g","⒢","G","U+0047"
"U+24a3",161,167,"PARENTHESIZED LATIN SMALL LETTER H","Subscript h","⒣","H","U+0048"
"U+24a4",170,175,"PARENTHESIZED LATIN SMALL LETTER I","Subscript i","⒤","I","U+0049"
"U+24a5",193,198,"PARENTHESIZED LATIN SMALL LETTER J","Subscript j","⒥","J","U+004a"
"U+24a6",199,204,"PARENTHESIZED LATIN SMALL LETTER K","Subscript k","⒦","K","U+004b"
"U+24a7",205,210,"PARENTHESIZED LATIN SMALL LETTER L","Subscript l","⒧","L","U+004c"
"U+24a8",217,222,"PARENTHESIZED LATIN SMALL LETTER M","Subscript m","⒨","M","U+004d"
"U+24a9",223,228,"PARENTHESIZED LATIN SMALL LETTER N","Subscript n","⒩","N","U+004e"
"U+24aa",236,241,"PARENTHESIZED LATIN SMALL LETTER O","Subscript o","⒪","O","U+004f"
"U+24ab",261,266,"PARENTHESIZED LATIN SMALL LETTER P","Subscript p","⒫","P","U+0050"
"U+24ac",267,272,"PARENTHESIZED LATIN SMALL LETTER Q","Subscript q","⒬","Q","U+0051"
"U+24ad",274,279,"PARENTHESIZED LATIN SMALL LETTER R","Subscript r","⒭","R","U+0052"
"U+24ae",285,290,"PARENTHESIZED LATIN SMALL LETTER S","Subscript s","⒮","S","U+0053"
"U+24af",298,304,"PARENTHESIZED LATIN SMALL LETTER T","Subscript t","⒯","T","U+0054"
"U+24b0",309,314,"PARENTHESIZED LATIN SMALL LETTER U","Subscript u","⒰","U","U+0055"
"U+24b1",333,338,"PARENTHESIZED LATIN SMALL LETTER V","Subscript v","⒱","V","U+0056"
"U+24b2",339,344,"PARENTHESIZED LATIN SMALL LETTER W","Subscript w","⒲","W","U+0057"
"U+24b3",347,352,"PARENTHESIZED LATIN SMALL LETTER X","Subscript x","⒳","X","U+0058"
"U+24b4",357,362,"PARENTHESIZED LATIN SMALL LETTER Y","Subscript y","⒴","Y","U+0059"
"U+24b5",371,376,"PARENTHESIZED LATIN SMALL LETTER Z","Subscript z","⒵","Z","U+005a"
"U+24b6",63,65,"CIRCLED LATIN CAPITAL LETTER A","Superscript A","Ⓐ","A","U+0041"
"U+24b7",89,91,"CIRCLED LATIN CAPITAL LETTER B","Superscript B","Ⓑ","B","U+0042"
"U+24b8",95,97,"CIRCLED LATIN CAPITAL LETTER C","Superscript C","Ⓒ","C","U+0043"
"U+24b9",109,111,"CIRCLED LATIN CAPITAL LETTER D","Superscript D","Ⓓ","D","U+0044"
"U+24ba",121,123,"CIRCLED LATIN CAPITAL LETTER E","Superscript E","Ⓔ","E","U+0045"
"U+24bb",147,149,"CIRCLED LATIN CAPITAL LETTER F","Superscript F","Ⓕ","F","U+0046"
"U+24bc",153,155,"CIRCLED LATIN CAPITAL LETTER G","Superscript G","Ⓖ","G","U+0047"
"U+24bd",161,164,"CIRCLED LATIN CAPITAL LETTER H","Superscript H","Ⓗ","H","U+0048"
"U+24be",170,172,"CIRCLED LATIN CAPITAL LETTER I","Superscript I","Ⓘ","I","U+0049"
"U+24bf",193,195,"CIRCLED LATIN CAPITAL LETTER J","Superscript J","Ⓙ","J","U+004a"
"U+24c0",199,201,"CIRCLED LATIN CAPITAL LETTER K","Superscript K","Ⓚ","K","U+004b"
"U+24c1",205,207,"CIRCLED LATIN CAPITAL LETTER L","Superscript L","Ⓛ","L","U+004c"
"U+24c2",217,219,"CIRCLED LATIN CAPITAL LETTER M","Superscript M","Ⓜ","M","U+004d"
"U+24c3",223,225,"CIRCLED LATIN CAPITAL LETTER N","Superscript N","Ⓝ","N","U+004e"
"U+24c4",236,238,"CIRCLED LATIN CAPITAL LETTER O","Superscript O","Ⓞ","O","U+004f"
"U+24c5",261,263,"CIRCLED LATIN CAPITAL LETTER P","Superscript P","Ⓟ","P","U+0050"
"U+24c6",267,269,"CIRCLED LATIN CAPITAL LETTER Q","Superscript Q","Ⓠ","Q","U+0051"
"U+24c7",274,276,"CIRCLED LATIN CAPITAL LETTER R","Superscript R","Ⓡ","R","U+0052"
"U+24c8",285,287,"CIRCLED LATIN CAPITAL LETTER S","Superscript S","Ⓢ","S","U+0053"
"U+24c9",298,300,"CIRCLED LATIN CAPITAL LETTER T","Superscript T","Ⓣ","T","U+0054"
"U+24ca",309,311,"CIRCLED LATIN CAPITAL LETTER U","Superscript U","Ⓤ","U","U+0055"
"U+24cb",333,335,"CIRCLED LATIN CAPITAL LETTER V","Superscript V","Ⓥ","V","U+0056"
"U+24cc",339,341,"CIRCLED LATIN CAPITAL LETTER W","Superscript W","Ⓦ","W","U+0057"
"U+24cd",347,349,"CIRCLED LATIN CAPITAL LETTER X","Superscript X","Ⓧ","X","U+0058"
"U+24ce",357,359,"CIRCLED LATIN CAPITAL LETTER Y","Superscript Y","Ⓨ","Y","U+0059"
"U+24cf",371,373,"CIRCLED LATIN CAPITAL LETTER Z","Superscript Z","Ⓩ","Z","U+005a"
"U+24d0",63,66,"CIRCLED LATIN SMALL LETTER A","Subscript A","ⓐ","A","U+0041"
"U+24d1",89,92,"CIRCLED LATIN SMALL LETTER B","Subscript B","ⓑ","B","U+0042"
"U+24d2",95,98,"CIRCLED LATIN SMALL LETTER C","Subscript C","ⓒ","C","U+0043"
"U+24d3",109,112,"CIRCLED LATIN SMALL LETTER D","Subscript D","ⓓ","D","U+0044"
"U+24d4",121,124,"CIRCLED LATIN SMALL LETTER E","Subscript E","ⓔ","E","U+0045"
"U+24d5",147,150,"CIRCLED LATIN SMALL LETTER F","Subscript F","ⓕ","F","U+0046"
"U+24d6",153,156,"CIRCLED LATIN SMALL LETTER G","Subscript G","ⓖ","G","U+0047"
"U+24d7",161,165,"CIRCLED LATIN SMALL LETTER H","Subscript H","ⓗ","H","U+0048"
"U+24d8",170,173,"CIRCLED LATIN SMALL LETTER I","Subscript I","ⓘ","I","U+0049"
"U+24d9",193,196,"CIRCLED LATIN SMALL LETTER J","Subscript J","ⓙ","J","U+004a"
"U+24da",199,202,"CIRCLED LATIN SMALL LETTER K","Subscript K","ⓚ","K","U+004b"
"U+24db",205,208,"CIRCLED LATIN SMALL LETTER L","Subscript L","ⓛ","L","U+004c"
